,transc_r,transc_pval,transc_sig
carnitine,0.5524120178132739,7.859810550642909e-74,True
acetylcarnitine,0.4659704426216147,3.077557616289652e-50,True
propionylcarnitine,0.3698992001995708,6.926561436055753e-31,True
malonylcarnitine,0.4687209703903831,6.872561108526065e-51,True
butyrylcarnitine/isobutyrylcarnitine,0.31430896538168507,2.583142639314223e-22,True
valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,0.3259019934140174,5.837284480147807e-24,True
hexanoylcarnitine,0.3707114360794539,5.036437525670805e-31,True
heptanoylcarnitine,0.2801214845889153,7.206382168256149e-18,True
lauroylcarnitine,0.4173067479968577,1.1869503227921408e-39,True
myristoylcarnitine,0.44088561123333403,1.4440903726452445e-44,True
palmitoylcarnitine,0.44952544032382447,1.8172042709873954e-46,True
stearoylcarnitine,0.3878580355402532,4.863820688379664e-34,True
oleylcarnitine,0.4169759085496948,1.3824801828221894e-39,True
arachidonyl_carnitine,0.5239667771193559,2.63278950696524e-65,True
sarcosine,0.24177965488244663,1.4299869361067353e-13,True
beta-alanine,0.47737592724704425,5.61344214685273e-53,True
anserine,0.41157665723302256,1.625762782865231e-38,True
C14:0 LPC,0.3793215977491018,1.6239791531639072e-32,True
C16:1 LPC,0.2653885807840719,3.914258995908141e-16,True
C16:0 LPC,0.39580456059333335,1.6892651490838524e-35,True
C18:2 LPC,0.19702583142241187,2.0448564402094886e-09,True
C18:1 LPC,0.4538802880131795,1.9085663414763882e-47,True
C18:0 LPC,0.37034634662455207,5.812711577107328e-31,True
C20:4 LPC,0.3351409372128849,2.525811183822372e-25,True
C20:3 LPC,0.3628410579497746,1.063130182153643e-29,True
C22:6 LPC,0.31698552609043146,1.0927440731270562e-22,True
C16:0 LPE,0.3568335990291434,1.0303200875490077e-28,True
C18:1 LPE,0.34394372714426025,1.1457010467924554e-26,True
C18:0 LPE,0.2742946808795517,3.60230078920827e-17,True
C20:4 LPE,0.34884518314636737,1.9598134067000735e-27,True
C22:6 LPE,0.28493786853662173,1.8507448748295783e-18,True
C32:2 PC,0.380516021561748,1.0002409735858265e-32,True
C32:1 PC,0.322905093325457,1.579843207627178e-23,True
C32:0 PC,0.39533331798012056,2.067056813667041e-35,True
C34:4 PC,0.3092140204003498,1.2968960189180743e-21,True
C34:3 PC,0.13554813763951973,4.0906390040239464e-05,True
C34:2 PC,0.2676044485467597,2.1800895016492274e-16,True
C34:1 PC,0.43219943353466905,1.0364080924621168e-42,True
C36:4 PC-A,0.426444680895264,1.6433313651752454e-41,True
C36:4 PC-B,0.5707908120938789,8.605598964508384e-80,True
C36:3 PC,0.32961319672417067,1.6749158717738585e-24,True
C36:2 PC,0.24708198776880164,4.005581322689747e-14,True
C36:1 PC,0.40567632354510874,2.283517187687506e-37,True
C38:6 PC,0.5137573714074481,1.9387487421069206e-62,True
C38:5 PC,0.5699198336113641,1.68184482489767e-79,True
C38:4 PC,0.6007859971254523,2.2800392596789644e-90,True
C38:2 PC,0.19592946360334856,2.519534394013812e-09,True
C40:6 PC,0.543853428525279,3.5214808667163587e-71,True
C14:0 SM,0.2990037708540948,2.99512689730429e-20,True
C16:1 SM,0.3587081216315501,5.09859068156487e-29,True
C16:0 SM,0.45214551811833836,4.701905459265881e-47,True
C18:2 SM,0.38690428336565297,7.235196265683119e-34,True
C18:1 SM,0.3543109152643844,2.6358317453160736e-28,True
C18:0 SM,0.3568446630544304,1.0260649969141958e-28,True
C22:1 SM,0.3457466413057437,6.005916234592273e-27,True
C22:0 SM,0.2574891135290144,3.0167842469190285e-15,True
C24:1 SM,0.42549861526959293,2.575277939114696e-41,True
C24:0 SM,0.38182564061792423,5.865731778475486e-33,True
C34:2 DAG,0.33873517638631917,7.22991913817465e-26,True
C34:1 DAG,0.39274436283896497,6.228663293770895e-35,True
C36:2 DAG,0.3182103089037823,7.34981788141783e-23,True
C36:1 DAG,0.37755932567753714,3.307689374844333e-32,True
C14:0 CE,0.34915171816300206,1.7530827196852125e-27,True
C16:1 CE,0.6196388269605142,1.302551310000907e-97,True
C16:0 CE,0.6227158515680418,7.679772249831941e-99,True
C18:3 CE,0.5492873301691623,7.452267725422746e-73,True
C18:2 CE,0.6103364422254453,5.619780897275901e-94,True
C18:1 CE,0.6594805540549038,1.155453858973371e-114,True
C18:0 CE,0.4594469920789823,1.0206086997042589e-48,True
C20:5 CE,0.6429376407513042,2.8295156183225915e-107,True
C20:4 CE,0.657161557869858,1.3389386672316425e-113,True
C20:3 CE,0.5734845517666978,1.0696421427125654e-80,True
C22:6 CE,0.5971986138099092,4.808925855255837e-89,True
C46:2 TAG,0.5173146324135811,1.9933625162223958e-63,True
C46:1 TAG,0.5406179605573994,3.3825988561265445e-70,True
C46:0 TAG,0.4585107224696937,1.6765658902088616e-48,True
C48:3 TAG,0.3736560855909392,1.5742388479681711e-31,True
C48:2 TAG,0.5176098706693202,1.648407836136074e-63,True
C48:1 TAG,0.4680241214438834,1.0060837054858307e-50,True
C48:0 TAG,0.3818117932292361,5.899001394490486e-33,True
C50:3 TAG,0.46812789998218707,9.506241933060581e-51,True
C50:2 TAG,0.471011989010259,1.950986804182908e-51,True
C50:1 TAG,0.4211634650104693,1.9811943296109464e-40,True
C50:0 TAG,0.3894338117474685,2.516359046050797e-34,True
C52:5 TAG,0.4975055631070533,4.522780502677875e-58,True
C52:4 TAG,0.437002259766075,9.908266484829758e-44,True
C52:3 TAG,0.43538195806271396,2.196770079644905e-43,True
C52:2 TAG,0.43836744493707114,5.048908542050036e-44,True
C52:1 TAG,0.42732322112425697,1.0814219805733549e-41,True
C54:7 TAG,0.4851711177320502,6.55892503357819e-55,True
C54:6 TAG,0.46597362303337797,3.0722515221455563e-50,True
C54:5 TAG,0.4692546940731483,5.12967518209312e-51,True
C54:4 TAG,0.4322170677054199,1.027584053271287e-42,True
C54:3 TAG,0.411637830341452,1.5813897434268027e-38,True
C54:2 TAG,0.44310851802332835,4.741525891722672e-45,True
C54:1 TAG,0.44474216767113595,2.080481267636435e-45,True
C56:8 TAG,0.5141799621316933,1.4817309046276914e-62,True
C56:7 TAG,0.49689762905762713,6.520334029272616e-58,True
C56:6 TAG,0.5269843853997074,3.581959220629318e-66,True
C56:5 TAG,0.5292767770529956,7.765275909341319e-67,True
C56:4 TAG,0.5227987271438197,5.6676630053512115e-65,True
C56:3 TAG,0.4056569513453635,2.3032133755956915e-37,True
C56:2 TAG,0.4521015879415345,4.810169512430802e-47,True
C58:8 TAG,0.5212637182512767,1.5453826807408068e-64,True
C58:7 TAG,0.4743390234515884,3.0808226881992316e-52,True
C58:6 TAG,0.5334489262275397,4.6622561570130334e-68,True
